sent_date,customer_ID,success
11/10/2023,939,0
11/10/2023,982,0
11/10/2023,486,1
11/10/2023,645,0
11/10/2023,847,1
11/10/2023,921,0
11/10/2023,305,0
11/10/2023,936,0
11/10/2023,146,0
11/10/2023,228,0
11/10/2023,576,1
11/10/2023,954,0
11/10/2023,808,1
11/10/2023,420,0
11/10/2023,174,0
11/10/2023,564,1
11/10/2023,563,1
11/10/2023,474,1
11/10/2023,422,0
11/10/2023,660,1
11/10/2023,675,
11/10/2023,922,1
11/10/2023,575,1
11/10/2023,638,0
11/10/2023,986,0
11/10/2023,988,1
11/10/2023,846,1
11/10/2023,120,0
11/10/2023,327,1
11/10/2023,325,1
11/10/2023,311,1
11/10/2023,435,1
11/10/2023,176,1
11/10/2023,627,0
11/10/2023,733,0
11/10/2023,600,0
11/10/2023,528,1
11/10/2023,53,0
11/10/2023,688,1
11/10/2023,823,1
11/10/2023,109,1
11/10/2023,187,1
11/10/2023,997,1
11/10/2023,616,1
11/10/2023,493,0
11/10/2023,374,1
11/10/2023,484,1
11/10/2023,11,0
11/10/2023,635,1
11/10/2023,255,1
11/10/2023,603,1
11/10/2023,157,0
11/10/2023,424,1
11/10/2023,648,0
11/10/2023,830,0
11/10/2023,461,0
11/10/2023,592,0
11/10/2023,596,1
11/10/2023,416,0
11/10/2023,519,1
11/10/2023,433,0
11/10/2023,900,0
11/10/2023,320,1
11/10/2023,330,0
11/10/2023,239,1
11/10/2023,504,0
11/10/2023,199,0
11/10/2023,658,0
11/10/2023,705,0
11/10/2023,655,1
11/10/2023,732,1
11/10/2023,114,0
11/10/2023,610,0
11/10/2023,779,0
11/10/2023,281,1
11/10/2023,836,0
11/10/2023,664,1
11/10/2023,961,1
11/10/2023,136,1
11/10/2023,251,1
11/10/2023,843,1
11/10/2023,601,0
11/10/2023,724,0
11/10/2023,684,0
11/10/2023,720,0
11/10/2023,827,0
11/10/2023,694,1
11/10/2023,178,1
11/10/2023,505,1
11/10/2023,721,1
11/10/2023,116,0
11/10/2023,888,0
11/10/2023,550,1
11/10/2023,460,0
11/10/2023,723,1
11/10/2023,967,1
11/10/2023,674,1
11/10/2023,849,0
11/10/2023,933,1
11/10/2023,574,1
